Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,VOLATILITY,ANNUALIZED VOLATILITY
01-Jan-16,408.7,408.1834577,1608,81,68.16,,,,
04-Jan-16,407.6,404.4016227,1972,192,32.66,-0.002691461,-0.269146073,,
05-Jan-16,407.85,405.0207972,1154,100,25.91,0.000613346,0.061334642,,
06-Jan-16,404.45,404.2178988,257,35,43.19,-0.008336398,-0.833639819,,
07-Jan-16,398.25,399.3643808,1954,138,70.27,-0.01532946,-1.532945976,,
08-Jan-16,399.85,398.5179817,3726,138,60.23,0.004017577,0.40175769,,
11-Jan-16,399.5,398.0857143,280,33,73.21,-0.000875328,-0.087532825,,
12-Jan-16,395.35,397.3430079,379,40,79.95,-0.010387985,-1.038798498,,
13-Jan-16,396.05,393.3904762,3570,257,62.72,0.001770583,0.177058303,,
14-Jan-16,395.55,395.4086294,394,63,49.49,-0.001262467,-0.126246686,,
15-Jan-16,389.85,390.6707591,6679,116,93.4,-0.014410315,-1.441031475,,
18-Jan-16,392.45,390.4908815,4606,147,87.89,0.006669232,0.666923176,,
19-Jan-16,399.15,394.2124163,1643,71,77.85,0.017072239,1.70722385,,
20-Jan-16,392.65,389.8094156,3080,83,74.55,-0.016284605,-1.628460479,,
21-Jan-16,391.05,391.0391608,715,48,61.4,-0.004074876,-0.407487584,,
22-Jan-16,393.55,394.8377976,1344,80,53.57,0.006393044,0.639304437,,
25-Jan-16,394.75,397.726206,1534,72,45.96,0.003049168,0.304916783,,
27-Jan-16,391.75,392.6062143,1577,62,72.61,-0.007599747,-0.759974668,,
28-Jan-16,392.25,390.5257732,97,16,75.26,0.001276324,0.127632419,,
29-Jan-16,396,398.13445,2209,169,30.47,0.009560229,0.956022945,,
01-Feb-16,394.65,395.5188928,2276,227,42.93,-0.003409091,-0.340909091,,
02-Feb-16,394.2,402.7753961,7511,352,21.48,-0.001140251,-0.114025086,,
03-Feb-16,389.45,391.7369792,1536,111,24.8,-0.012049721,-1.204972095,,
04-Feb-16,390.05,391.0199203,753,66,66.4,0.001540634,0.154063423,,
05-Feb-16,390.75,390.2051948,385,88,42.08,0.001794642,0.179464171,,
08-Feb-16,385.7,387.6470956,1601,132,58.84,-0.012923864,-1.292386436,,
09-Feb-16,385.4,387.3041237,582,58,63.57,-0.000777807,-0.077780659,,
10-Feb-16,379.1,382.1311983,1936,62,82.28,-0.016346653,-1.634665283,,
11-Feb-16,372.6,373.6089286,2240,210,59.38,-0.017145872,-1.71458718,,
12-Feb-16,373.35,371.3152263,1215,126,56.79,0.002012882,0.201288245,,
15-Feb-16,376.8,379.2788931,1843,137,59.47,0.009240659,0.92406589,,
16-Feb-16,380.75,382.4067797,3363,240,71.99,0.010483015,1.048301486,,
17-Feb-16,377.45,377.3855773,2399,144,51.6,-0.008667104,-0.86671044,,
18-Feb-16,385.3,383.1528977,811,50,67.08,0.020797457,2.079745662,,
19-Feb-16,382.4,382.5591837,245,35,64.08,-0.007526603,-0.752660265,,
22-Feb-16,378.55,379.8843931,346,60,79.19,-0.010067992,-1.006799163,,
23-Feb-16,371.05,374.1776691,1227,82,84.6,-0.019812442,-1.981244221,,
24-Feb-16,366.05,368.6241135,282,28,63.48,-0.013475273,-1.347527287,,
25-Feb-16,362.25,362.7889391,886,32,94.92,-0.010381095,-1.038109548,,
26-Feb-16,362.3,363.4701195,753,73,68.66,0.000138026,0.013802622,,
29-Feb-16,370.2,368.9971989,1071,141,53.22,0.021805134,2.180513387,,
01-Mar-16,370.7,366.2557143,2800,149,44.46,0.001350621,0.135062129,,
02-Mar-16,384.25,382.8944782,3459,214,44.46,0.036552468,3.65524683,,
03-Mar-16,389.5,386.5950653,1378,63,63.72,0.01366298,1.366297983,,
04-Mar-16,392.3,392.081316,1611,120,42.83,0.007188703,0.718870347,,
08-Mar-16,388.15,390.2848335,811,58,67.2,-0.010578639,-1.05786388,,
09-Mar-16,386.6,385.0176991,113,21,76.99,-0.003993302,-0.399330156,,
10-Mar-16,387.5,383.9124088,137,38,54.01,0.002327988,0.232798758,,
11-Mar-16,379.5,380.3869347,199,27,89.45,-0.020645161,-2.064516129,,
14-Mar-16,385.55,384.6823529,170,17,58.24,0.015942029,1.594202899,,
15-Mar-16,374.45,381.8513514,3626,114,75.32,-0.02879004,-2.87900402,,
16-Mar-16,374.9,375.2062937,572,18,79.9,0.001201763,0.120176259,,
17-Mar-16,376.4,376.7908979,1626,41,63.84,0.004001067,0.400106695,,
18-Mar-16,385.55,389.5619612,3712,138,61.96,0.024309245,2.430924548,,
21-Mar-16,389.8,394.1843575,3401,201,40.78,0.011023214,1.102321359,,
22-Mar-16,384.25,385.8933002,806,33,59.55,-0.014238071,-1.423807081,,
23-Mar-16,381.75,383.4474273,1341,42,70.02,-0.006506181,-0.650618087,,
28-Mar-16,375.85,378.4896755,1017,54,53.88,-0.015455141,-1.54551408,,
29-Mar-16,379.05,377.6839744,1560,78,48.59,0.008514035,0.851403485,,
30-Mar-16,382.4,378.2505308,1413,161,44.16,0.008837884,0.883788418,,
31-Mar-16,385.55,380.7988506,174,22,80.46,0.008237448,0.82374477,,
01-Apr-16,379.35,379.8449008,1412,38,90.79,-0.016080923,-1.608092336,,
04-Apr-16,380.3,381.4626866,603,19,99.34,0.002504284,0.250428364,,
05-Apr-16,382.6,380.568,125,13,78.4,0.006047857,0.604785696,,
06-Apr-16,384.9,380.0726464,1349,12,99.85,0.0060115,0.601150026,,
07-Apr-16,378.4,378.2307692,195,17,51.28,-0.016887503,-1.688750325,,
08-Apr-16,387,386.5307225,1481,90,54.56,0.022727273,2.272727273,,
11-Apr-16,382.25,385.0664452,301,21,63.46,-0.012273902,-1.227390181,,
12-Apr-16,383.95,383.7222222,36,11,58.33,0.004447351,0.444735121,,
13-Apr-16,387,387.0139082,719,61,67.59,0.007943743,0.794374267,,
18-Apr-16,387.2,386.1717791,163,15,63.8,0.000516796,0.051679587,,
20-Apr-16,391.3,390.441247,417,32,68.11,0.010588843,1.058884298,,
21-Apr-16,391,391.6175478,889,20,77.05,-0.000766675,-0.076667519,,
22-Apr-16,393,394.8269755,734,26,54.9,0.00511509,0.511508951,,
25-Apr-16,399.9,397.1040609,788,53,57.11,0.017557252,1.755725191,,
26-Apr-16,389.05,388.0498866,2205,123,44.63,-0.027131783,-2.713178295,,
27-Apr-16,383.75,384.2504744,1054,105,74.95,-0.013622928,-1.362292764,,
28-Apr-16,376.5,377.7255521,2536,106,79.18,-0.018892508,-1.889250814,,
29-Apr-16,378.35,376.6993865,163,26,72.39,0.004913679,0.491367862,,
02-May-16,376.85,378.2626728,434,32,83.41,-0.003964583,-0.396458306,,
03-May-16,376.65,378.7333948,1084,47,66.7,-0.000530715,-0.053071514,,
04-May-16,375,374.7397388,1072,50,50.84,-0.004380725,-0.438072481,,
05-May-16,369.55,370.7686747,415,45,72.77,-0.014533333,-1.453333333,,
06-May-16,369.55,369.3152709,406,22,65.76,0,0,,
09-May-16,369.45,371.146875,320,25,73.44,-0.000270599,-0.027059938,,
10-May-16,367.7,367.2059448,471,29,98.94,-0.004736771,-0.473677088,,
11-May-16,363.35,364.0266344,413,18,89.83,-0.011830296,-1.183029644,,
12-May-16,362.55,363.3832879,1101,45,72.84,-0.002201734,-0.220173387,,
13-May-16,369.55,369.0551627,1414,39,65.13,0.019307682,1.93076817,,
16-May-16,363.25,363.8814815,540,36,62.04,-0.017047761,-1.704776079,0.012198632,-0.160828254
17-May-16,399.1,396.1435939,39166,1744,22.88,0.098692361,9.869236063,0.016154769,0.936277942
18-May-16,408.55,423.2919805,69967,3575,18.86,0.023678276,2.367827612,0.016350343,0.339847196
19-May-16,391.75,403.5530019,7745,453,36.37,-0.041121038,-4.112103782,0.016903619,
20-May-16,389.25,389.1136413,4611,184,52.22,-0.006381621,-0.638162093,0.01683922,
23-May-16,378.95,380.4951872,935,83,50.91,-0.026461143,-2.646114322,0.017062563,
24-May-16,375.9,377.2120075,3198,165,62.7,-0.008048555,-0.804855522,0.017081468,
25-May-16,374.2,374.2558603,2005,112,49.23,-0.004522479,-0.452247938,0.017054345,
26-May-16,374.4,375.2296578,1315,86,73.16,0.000534474,0.053447354,0.017052997,
27-May-16,380.4,381.1502209,3395,197,44.36,0.016025641,1.602564103,0.017142337,
30-May-16,391.5,390.0342531,3153,178,54.8,0.029179811,2.917981073,0.017355888,
31-May-16,381.75,382.4932886,2384,113,52.94,-0.024904215,-2.490421456,0.017543681,
01-Jun-16,381.8,381.5309091,1650,101,53.7,0.000130976,0.013097577,0.017446204,
02-Jun-16,380.55,377.3541118,26582,140,94.53,-0.003273965,-0.327396543,0.017365505,
03-Jun-16,380.3,381.5839921,1012,93,67.49,-0.000656944,-0.06569439,0.01736063,
06-Jun-16,389.05,387.6308601,2709,161,45.18,0.023008151,2.300815146,0.017520576,
07-Jun-16,392.15,391.8664647,7923,185,61.82,0.007968127,0.796812749,0.017537992,
08-Jun-16,395.7,397.0833097,28208,132,96.55,0.009052658,0.905265842,0.017544014,
09-Jun-16,396.45,397.0736434,2064,118,52.86,0.001895375,0.189537528,0.017544544,
10-Jun-16,393.55,396.6018332,4473,225,45.38,-0.00731492,-0.731491991,0.017534171,
13-Jun-16,392.5,393.5420601,2330,169,47.94,-0.002668022,-0.266802185,0.017532671,
14-Jun-16,399.1,398.4780151,1592,168,38.44,0.016815287,1.681528662,0.017621466,
15-Jun-16,478.9,459.6071539,369058,10851,13.29,0.199949887,19.99498872,0.027496399,
16-Jun-16,551.75,549.2481628,664334,23322,10.76,0.15211944,15.21194404,0.031732423,
17-Jun-16,552,566.8175761,490029,18654,10.63,0.000453104,0.045310376,0.031733975,
20-Jun-16,512.7,521.3155076,130130,6820,13.96,-0.071195652,-7.119565217,0.032681374,
21-Jun-16,510.1,516.3600114,45743,3213,17.45,-0.005071192,-0.507119173,0.032691216,
22-Jun-16,487.55,496.176883,62612,4900,15.9,-0.044207018,-4.420701823,0.033016594,
23-Jun-16,490.45,491.3894329,183703,9588,11.01,0.005948108,0.594810789,0.032944497,
24-Jun-16,497.7,482.9641036,132966,6308,10.52,0.014782343,1.478234275,0.032965343,
27-Jun-16,499.75,501.0275863,59341,4687,13.93,0.004118947,0.411894716,0.032960093,
28-Jun-16,509.85,506.8787546,73842,3672,17.13,0.020210105,2.021010505,0.03299902,
29-Jun-16,509.95,512.5781458,39791,2564,19.98,0.000196136,0.019613612,0.032974374,
30-Jun-16,509.85,511.8744087,21984,1223,29.85,-0.000196098,-0.019609766,0.03292708,
01-Jul-16,492.75,499.1261037,22878,1363,35.35,-0.033539276,-3.353927626,0.033142169,
04-Jul-16,490.25,495.5424307,24051,1740,20.38,-0.005073567,-0.507356672,0.0331234,
05-Jul-16,489.8,492.3369565,13524,893,27.3,-0.000917899,-0.091789903,0.033033269,
07-Jul-16,492.05,494.6776316,9880,683,36.38,0.004593712,0.459371172,0.032982454,
08-Jul-16,513.25,517.7596471,186817,9338,9.82,0.043085052,4.308505233,0.033206832,
11-Jul-16,519.2,519.1172003,28174,1440,33.29,0.011592791,1.159279104,0.033212205,
12-Jul-16,518.95,521.4462425,23606,1383,20.4,-0.00048151,-0.048151002,0.03316468,
13-Jul-16,505.5,511.675287,14810,961,20.18,-0.025917718,-2.591771847,0.03331792,
14-Jul-16,525.15,516.4125034,62751,3212,28.07,0.038872404,3.887240356,0.033344572,
15-Jul-16,522.85,526.0824626,30050,1796,17.95,-0.004379701,-0.437970104,0.033340178,
18-Jul-16,533.5,543.2185193,118795,6096,16.06,0.020369131,2.036913073,0.03338453,
19-Jul-16,537.15,540.1255671,25349,1684,26.9,0.006841612,0.6841612,0.033349289,
20-Jul-16,539.05,541.4523916,8948,633,32.09,0.003537187,0.353718701,0.033337895,
21-Jul-16,525.95,534.2529666,14579,910,39.12,-0.024302013,-2.43020128,0.033474602,
22-Jul-16,518.45,517.8268446,10788,674,24.92,-0.014259911,-1.425991064,0.033428089,
25-Jul-16,525.2,526.2390571,24902,1572,31.62,0.013019578,1.301957759,0.033417685,
26-Jul-16,522.85,524.0613239,10469,536,32.11,-0.004474486,-0.447448591,0.033245567,
27-Jul-16,513.2,512.9244937,25627,1574,30.41,-0.018456536,-1.845653629,0.033331356,
28-Jul-16,513.6,514.9685732,7955,468,32.76,0.000779423,0.077942323,0.033333155,
29-Jul-16,511,511.7701005,5572,386,34.49,-0.005062305,-0.50623053,0.033275243,
01-Aug-16,510.6,511.8244285,7786,714,21.4,-0.000782779,-0.078277886,0.033269167,
02-Aug-16,502.2,505.7669794,5330,478,50.51,-0.016451234,-1.645123384,0.033283436,
03-Aug-16,502.9,503.8525367,4218,382,36.84,0.001393867,0.139386699,0.033266917,
04-Aug-16,512.25,516.4841161,29212,1961,20.71,0.018592165,1.859216544,0.033240927,
05-Aug-16,516.15,517.8689759,17928,1314,36.74,0.00761347,0.761346999,0.033239672,
08-Aug-16,517.15,519.147336,5837,398,42.47,0.001937421,0.193742129,0.033236268,
09-Aug-16,517.2,519.762384,6359,523,38.34,9.66837E-05,0.009668375,0.033235414,
10-Aug-16,505.55,510.4250896,8370,568,31.42,-0.022525135,-2.252513534,0.033286232,
11-Aug-16,503,506.296881,2597,296,25.49,-0.005044011,-0.504401147,0.033299036,
12-Aug-16,514.8,516.2804017,17425,1291,23.63,0.023459245,2.345924453,0.033364322,
16-Aug-16,507.4,509.7620397,4236,295,57.39,-0.014374514,-1.437451437,0.033419268,
17-Aug-16,504.45,505.3740123,2278,220,48.16,-0.005813953,-0.581395349,0.0333626,
18-Aug-16,505.85,509.1235999,12767,688,30.21,0.0027753,0.277529983,0.033300598,
19-Aug-16,537.05,540.0255434,149393,6382,31.17,0.061678363,6.167836315,0.033820502,
22-Aug-16,531.35,535.095591,21592,980,46.9,-0.010613537,-1.061353691,0.033857693,
23-Aug-16,531.85,530.3276119,8739,691,42.9,0.000940999,0.094099934,0.033856998,
24-Aug-16,535.75,535.3379334,11594,617,54.76,0.007332895,0.733289461,0.033856493,
25-Aug-16,532.6,534.3423276,7338,426,48.81,-0.005879608,-0.587960803,0.033866091,
26-Aug-16,524.75,526.3431311,4797,314,42.15,-0.014739016,-1.473901615,0.033920774,
29-Aug-16,527.65,524.730215,4233,178,82.47,0.005526441,0.552644116,0.033920977,
30-Aug-16,534.55,532.4450776,5089,301,74.36,0.01307685,1.307685018,0.033903718,
31-Aug-16,533.7,536.0477086,5848,176,59.78,-0.001590123,-0.159012253,0.033746687,
01-Sep-16,529.1,533.3826206,2198,194,44.13,-0.008619074,-0.861907439,0.033721012,
02-Sep-16,533.25,532.1976574,2732,117,44.69,0.007843508,0.784350784,0.033632475,
06-Sep-16,540.7,538.7656582,6115,255,79.49,0.013970933,1.397093296,0.033647625,
07-Sep-16,555.65,555.1942292,21037,955,53.85,0.027649343,2.764934344,0.033723595,
08-Sep-16,555.3,557.2686143,3868,258,53.52,-0.000629893,-0.062989292,0.033723778,
09-Sep-16,550.15,550.2658651,4491,375,51.35,-0.009274266,-0.927426616,0.033743058,
12-Sep-16,529.2,532.9935197,5401,488,49.4,-0.038080523,-3.808052349,0.033988117,
14-Sep-16,533.75,534.791282,10507,396,81.35,0.008597884,0.85978836,0.033987182,
15-Sep-16,529.65,531.0614887,927,132,25.89,-0.007681499,-0.768149883,0.034008502,
16-Sep-16,531.6,538.4105579,3997,227,17.79,0.003681677,0.368167658,0.033993972,
19-Sep-16,532.1,532.6755319,564,70,49.47,0.000940557,0.094055681,0.033950398,
20-Sep-16,530.65,530.4583072,1595,112,43.51,-0.002725052,-0.272505168,0.033951674,
21-Sep-16,524.95,528.7555329,2937,249,56.45,-0.010741543,-1.074154339,0.033955391,
22-Sep-16,533.35,533.215461,3221,255,49.18,0.016001524,1.600152395,0.03389791,
23-Sep-16,530.9,531.4360753,1009,120,70.47,-0.004593606,-0.459360645,0.032383006,
26-Sep-16,525.25,532.7204833,10511,831,13.86,-0.010642306,-1.064230552,0.03234666,
27-Sep-16,522.2,523.1341808,3540,172,53.95,-0.005806759,-0.580675869,0.0320103,
28-Sep-16,532.75,530.3444093,7584,320,45.28,0.020202987,2.020298736,0.032039124,
29-Sep-16,515.35,522.0091324,7008,527,43.36,-0.032660723,-3.266072267,0.032112769,
30-Sep-16,524.8,523.9013043,2300,261,34.65,0.018337052,1.833705249,0.032122676,
03-Oct-16,535.8,534.9996242,2661,220,39.65,0.020960366,2.096036585,0.032157314,
04-Oct-16,545.05,541.6036016,4387,363,55.09,0.017263904,1.726390444,0.032182652,
05-Oct-16,550.85,551.433405,5113,460,49.13,0.010641226,1.064122558,0.032166186,
06-Oct-16,542.4,546.8088578,7293,203,82.64,-0.015339929,-1.53399292,0.032126449,
07-Oct-16,547.3,543.642808,1453,136,46.94,0.009033923,0.90339233,0.031978807,
10-Oct-16,540.15,541.9910873,1683,123,45.81,-0.013064133,-1.306413302,0.032029962,
13-Oct-16,526.5,528.139964,2222,154,49.73,-0.025270758,-2.527075812,0.032174221,
14-Oct-16,533.2,534.1746479,355,64,26.76,0.012725546,1.272554606,0.032182862,
17-Oct-16,535.7,537.7550886,1523,124,63.56,0.004688672,0.468867217,0.032120249,
18-Oct-16,545.4,541.9632238,2556,206,66.2,0.01810715,1.810714952,0.032152177,
19-Oct-16,543.95,544.0693582,1932,140,70.34,-0.002658599,-0.265859919,0.032156011,
20-Oct-16,551.55,550.2480562,3987,263,62.18,0.013971872,1.397187241,0.032172259,
21-Oct-16,549.4,548.307197,2640,124,55.45,-0.003898105,-0.389810534,0.032160407,
24-Oct-16,554.6,556.870711,5654,290,65.33,0.009464871,0.946487077,0.032156542,
25-Oct-16,560.55,559.1351563,2560,129,60.43,0.010728453,1.072845294,0.032136234,
26-Oct-16,550.3,552.0368705,1112,113,43.97,-0.018285612,-1.828561235,0.024443081,
27-Oct-16,545,544.3364745,1804,134,29.88,-0.00963111,-0.96311103,0.018412262,
28-Oct-16,547.3,546.3621127,1969,136,48.45,0.004220183,0.422018349,0.018417575,
30-Oct-16,545.15,547.1959799,398,43,59.05,-0.003928376,-0.392837566,0.016765848,
01-Nov-16,548.95,550.5048409,1446,99,61.96,0.006970559,0.697055856,0.016766287,
02-Nov-16,533.9,535.1737616,2584,151,52.59,-0.027415976,-2.741597595,0.016341312,
03-Nov-16,524.1,526.4340094,3599,108,73.96,-0.018355497,-1.835549728,0.016462871,
04-Nov-16,520.1,519.3192742,2039,189,49.53,-0.007632131,-0.763213127,0.016419154,
07-Nov-16,539.15,533.3859232,2941,246,53.69,0.036627572,3.662757162,0.016853564,
08-Nov-16,538.3,534.6146294,2037,188,59.84,-0.001576556,-0.157655569,0.016729025,
09-Nov-16,551,535.9112903,3968,279,46.82,0.023592792,2.359279212,0.016903182,
10-Nov-16,596.8,593.7764668,40088,1657,39.04,0.083121597,8.31215971,0.019011328,
11-Nov-16,579.75,593.8950356,9689,566,39.32,-0.028569035,-2.856903485,0.018912949,
15-Nov-16,589.25,590.160059,6785,428,47.18,0.016386373,1.638637344,0.018958451,
16-Nov-16,587.35,592.1589537,1988,168,44.52,-0.003224438,-0.322443784,0.018964398,
17-Nov-16,593.35,593.673774,1876,160,32.62,0.010215374,1.021537414,0.018981755,
18-Nov-16,584.8,587.4112337,1994,136,71.11,-0.014409708,-1.440970759,0.018550757,
21-Nov-16,548.7,560.3280294,3268,244,60.99,-0.061730506,-6.173050616,0.019696307,
22-Nov-16,550.8,542.944159,13234,207,76.09,0.003827228,0.382722799,0.019698389,
23-Nov-16,550.55,551.9822866,621,56,77.29,-0.000453885,-0.045388526,0.019488852,
24-Nov-16,559.5,557.7322222,1800,174,53.89,0.016256471,1.62564708,0.019135591,
25-Nov-16,562.45,562.1184707,1857,158,15.13,0.005272565,0.527256479,0.019132729,
28-Nov-16,547.5,549.869869,1145,123,44.89,-0.02658014,-2.658014046,0.019239558,
29-Nov-16,545,549.4405488,656,63,69.97,-0.00456621,-0.456621005,0.019234644,
30-Nov-16,564.5,558.2997104,2072,165,33.25,0.035779817,3.577981651,0.019595713,
01-Dec-16,552.1,554.7150838,716,95,33.52,-0.021966342,-2.19663419,0.019563377,
02-Dec-16,549.15,551.456008,1989,196,32.33,-0.005343235,-0.534323492,0.019508478,
05-Dec-16,555.8,555.0625,32,9,50,0.012109624,1.210962396,0.019502257,
06-Dec-16,558,558.8452555,685,85,50.36,0.003958258,0.395825837,0.019496712,
07-Dec-16,551.9,557.8776797,793,95,38.84,-0.0109319,-1.093189964,0.019427936,
08-Dec-16,557.5,557.8362069,116,15,60.34,0.010146766,1.014676572,0.019452074,
09-Dec-16,570.25,569.0293663,1294,90,66.92,0.022869955,2.286995516,0.019576337,
12-Dec-16,564.1,569.9743025,1362,151,23.86,-0.010784744,-1.078474353,0.019617798,
13-Dec-16,569.45,567.5885372,1169,82,60.91,0.009484134,0.948413402,0.019543472,
14-Dec-16,563.15,564.4482759,377,46,32.1,-0.011063307,-1.10633067,0.019589521,
15-Dec-16,569.85,570.0904872,862,94,50.58,0.011897363,1.189736305,0.019535768,
16-Dec-16,569,568.6455982,443,68,37.25,-0.001491621,-0.14916206,0.019526619,
19-Dec-16,563.75,563.4935897,312,43,34.29,-0.009226714,-0.922671353,0.0195582,
20-Dec-16,548.25,552.4611296,1505,104,58.01,-0.027494457,-2.749445676,0.01979247,
21-Dec-16,547.4,550.594088,1387,55,77.51,-0.001550388,-0.15503876,0.019635259,
22-Dec-16,538.05,540.2186512,1898,143,54.21,-0.017080745,-1.708074534,0.019719214,
23-Dec-16,538.7,538.5938511,618,51,11.33,0.001208066,0.120806616,0.019571056,
26-Dec-16,524.6,526.7894737,912,123,49.34,-0.026174123,-2.617412289,0.019713767,
27-Dec-16,535.55,530.9796407,1670,115,33.89,0.020873046,2.087304613,0.019818318,
28-Dec-16,530.15,534,1395,127,31.04,-0.010083092,-1.008309215,0.019851076,
29-Dec-16,527.3,527.6153846,1014,62,33.63,-0.005375837,-0.537583703,0.01875334,
30-Dec-16,533,534.3158694,1317,82,27.33,0.010809786,1.08097857,0.018753479,
02-Jan-17,522.25,524.0488246,553,76,56.6,-0.020168856,-2.016885553,0.018877188,
03-Jan-17,519.9,519.805672,4055,101,80.96,-0.004499761,-0.449976065,0.018866412,
04-Jan-17,516.45,519.0832095,673,25,88.26,-0.006635892,-0.663589152,0.018869187,
05-Jan-17,517.95,517.6794326,1410,81,48.58,0.002904444,0.29044438,0.018806972,
06-Jan-17,524.8,523.6589147,387,40,36.43,0.013225215,1.322521479,0.018850208,
09-Jan-17,521.35,522.2038173,1467,61,72.19,-0.006573933,-0.657393293,0.018811693,
10-Jan-17,522.5,522.2526316,1140,70,60.96,0.002205812,0.220581183,0.018812595,
11-Jan-17,532.75,530.1438017,605,64,66.45,0.019617225,1.961722488,0.018904552,
12-Jan-17,530.55,532.1736842,190,32,46.32,-0.004129517,-0.412951666,0.01889252,
13-Jan-17,529.6,528.5355805,267,24,54.31,-0.001790595,-0.179059467,0.01883498,
16-Jan-17,536.65,536.3855098,1118,36,88.82,0.013311934,1.331193353,0.018655763,
17-Jan-17,539.7,539.7316279,2150,115,22.6,0.005683406,0.568340632,0.018666186,
18-Jan-17,543,541.6090226,133,13,77.44,0.006114508,0.611450806,0.018651963,
19-Jan-17,542.6,542.1157103,1063,84,43.93,-0.000736648,-0.073664825,0.018199577,
20-Jan-17,528.7,534.9839416,685,49,45.69,-0.025617398,-2.561739771,0.018385798,
23-Jan-17,540.1,533.9565217,69,25,44.93,0.021562323,2.156232268,0.018506803,
24-Jan-17,535,533.5,22,12,45.45,-0.009442696,-0.94426958,0.01853253,
25-Jan-17,539.1,532.8271768,758,57,73.88,0.007663551,0.76635514,0.018549111,
27-Jan-17,551.2,551.1507312,1778,132,72.83,0.022444815,2.244481543,0.018693532,
30-Jan-17,548,549.9396325,381,26,59.32,-0.005805515,-0.580551524,0.018666808,
31-Jan-17,540.45,543.6835017,1485,29,81.41,-0.013777372,-1.377737226,0.018655472,
01-Feb-17,561.85,555.6356213,3919,375,31.87,0.039596632,3.959663244,0.019105849,
02-Feb-17,569.15,565.7496325,2041,225,40.23,0.012992792,1.299279167,0.01910903,
03-Feb-17,572.85,572.4007634,1048,152,42.27,0.006500922,0.650092243,0.019103146,
06-Feb-17,576.9,580.2575758,1386,172,55.12,0.007069914,0.706991359,0.019005318,
07-Feb-17,572.55,574.7549353,1469,129,50.99,-0.007540302,-0.754030161,0.018682438,
08-Feb-17,575.7,574.8267394,733,47,50.89,0.005501703,0.550170291,0.01859921,
09-Feb-17,574,566.9265896,1730,145,45.66,-0.002952927,-0.295292687,0.018483022,
10-Feb-17,576.8,580.2767905,1857,200,29.89,0.004878049,0.487804878,0.018405195,
13-Feb-17,565.05,567.3559322,590,83,75.08,-0.020371012,-2.037101248,0.018510078,
14-Feb-17,565.1,563.9749135,1156,90,49.57,8.84877E-05,0.008848774,0.018432564,
15-Feb-17,559.95,561.3100775,516,27,72.48,-0.009113431,-0.911343125,0.018438888,
16-Feb-17,583.5,587.2147746,82980,2755,28.2,0.042057327,4.205732655,0.018900653,
17-Feb-17,577.65,579.4083552,4572,197,29.7,-0.010025707,-1.002570694,0.018727758,
20-Feb-17,578.95,578.5737705,1159,162,50.73,0.002250498,0.225049771,0.018687464,
21-Feb-17,579.95,579.4222586,611,69,33.06,0.001727265,0.172726488,0.018683632,
22-Feb-17,577.35,579.3134843,2032,146,29.48,-0.004483145,-0.44831451,0.018602727,
23-Feb-17,577.25,579.8492872,491,34,78.41,-0.000173205,-0.017320516,0.018599327,
27-Feb-17,579.9,579.8870316,7179,272,49.21,0.004590732,0.459073192,0.018550564,
28-Feb-17,583.6,583.0040928,733,54,71.21,0.00638041,0.638041042,0.018553406,
01-Mar-17,587.7,588.1873033,1906,75,90.87,0.00702536,0.702535984,0.018542329,
02-Mar-17,576.85,583.6854536,1863,128,43.32,-0.0184618,-1.846180024,0.018623062,
03-Mar-17,575.2,576.6340278,1440,54,85.28,-0.002860362,-0.286036231,0.0185178,
06-Mar-17,588.15,584.4107263,22263,180,47.86,0.022513908,2.251390821,0.018627849,
07-Mar-17,585.45,584.78706,20170,161,67.65,-0.004590666,-0.459066565,0.018634095,
08-Mar-17,588,587.9148734,3160,106,59.65,0.004355624,0.435562388,0.018630253,
09-Mar-17,594.7,592.8213598,3118,98,66.87,0.011394558,1.139455782,0.018652197,
10-Mar-17,593.85,593.1456446,2870,186,69.16,-0.001429292,-0.142929208,0.018402934,
14-Mar-17,599.65,600.7561588,4384,193,60.72,0.009766776,0.976677612,0.018301682,
15-Mar-17,607.25,607.5795425,11497,408,37.99,0.01267406,1.267405987,0.018310865,
